EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class	Set
Q91Z98	Mus musculus	Metazoa	402	1	21	Positive	Fold_5
P61769	Homo sapiens	Metazoa	119	1	20	Positive	Fold_4
P35625	Homo sapiens	Metazoa	211	1	23	Positive	Fold_5
Q8MM24	Drosophila melanogaster	Metazoa	439	1	20	Positive	Fold_3
P81446	Viscum album	Viridiplantae	564	1	33	Positive	Fold_4
P18829	Schistocerca gregaria	Metazoa	63	1	22	Positive	Fold_2
P58294	Homo sapiens	Metazoa	105	1	19	Positive	Fold_4
P39873	Bos taurus	Metazoa	167	1	26	Positive	Fold_2
P13671	Homo sapiens	Metazoa	934	1	21	Positive	Fold_1
Q9BKB7	Mesobuthus eupeus	Metazoa	57	1	21	Positive	Fold_2
P07597	Hordeum vulgare	Viridiplantae	117	1	26	Positive	Fold_1
P02675	Homo sapiens	Metazoa	491	1	30	Positive	Fold_1
P48816	Bombyx mori	Metazoa	137	1	18	Positive	Fold_3
Q6UWI2	Homo sapiens	Metazoa	310	1	20	Positive	Fold_5
P01715	Homo sapiens	Metazoa	115	1	20	Positive	Fold_1
Q9SR37	Arabidopsis thaliana	Viridiplantae	524	1	24	Positive	Fold_1
Q7ZTA7	Crotalus lutosus abyssus	Metazoa	138	1	16	Positive	Fold_2
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	1	20	Positive	Fold_4
Q7ZTA6	Crotalus viridis viridis	Metazoa	138	1	16	Positive	Fold_1
P29064	Candida tsukubaensis	Fungi	1070	1	35	Positive	Fold_4
P07596	Hordeum vulgare	Viridiplantae	203	1	22	Positive	Fold_1
P19633	Rattus norvegicus	Metazoa	406	1	34	Positive	Fold_5
P02787	Homo sapiens	Metazoa	698	1	19	Positive	Fold_1
P22455	Homo sapiens	Metazoa	802	1	21	Positive	Fold_4
Q10746	Rattus norvegicus	Metazoa	101	1	32	Positive	Fold_2
Q61001	Mus musculus	Metazoa	3718	1	40	Positive	Fold_2
P24854	Sus scrofa	Metazoa	259	1	22	Positive	Fold_2
P01076	Solanum lycopersicum	Viridiplantae	77	1	32	Positive	Fold_5
P82290	Anopheles gambiae	Metazoa	58	1	23	Positive	Fold_2
Q78CF9	Notechis ater	Metazoa	200	1	19	Positive	Fold_4
P55083	Homo sapiens	Metazoa	255	1	21	Positive	Fold_4
Q63617	Rattus norvegicus	Metazoa	999	1	32	Positive	Fold_1
O00100	Aspergillus terreus	Fungi	466	1	19	Positive	Fold_5
P34174	Bombyx mori	Metazoa	164	1	22	Positive	Fold_1
P32472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	1	17	Positive	Fold_3
P00702	Phasianus colchicus colchicus	Metazoa	147	1	17	Positive	Fold_4
Q00802	Bombyx mori	Metazoa	256	1	17	Positive	Fold_2
O08795	Mus musculus	Metazoa	521	1	14	Positive	Fold_1
P33185	Bryonia dioica	Viridiplantae	290	1	23	Positive	Fold_1
Q9BX93	Homo sapiens	Metazoa	195	1	19	Positive	Fold_4
P01236	Homo sapiens	Metazoa	227	1	28	Positive	Fold_3
P34207	Rattus norvegicus	Metazoa	223	1	28	Positive	Fold_1
P02754	Bos taurus	Metazoa	178	1	16	Positive	Fold_2
A0A2I8B353	Paralithodes camtschaticus	Metazoa	76	1	23	Positive	Fold_1
P85261	Actinidia chinensis var. chinensis	Viridiplantae	213	1	24	Positive	Fold_3
P67788	Manduca sexta	Metazoa	65	1	19	Positive	Fold_5
P02666	Bos taurus	Metazoa	224	1	15	Positive	Fold_5
P16444	Homo sapiens	Metazoa	411	1	16	Positive	Fold_4
P41361	Bos taurus	Metazoa	465	1	32	Positive	Fold_4
Q7T2Q1	Echis multisquamatus	Metazoa	157	1	23	Positive	Fold_4
Q01584	Rhinella marina	Metazoa	183	1	20	Positive	Fold_5
P0DJI9	Homo sapiens	Metazoa	122	1	18	Positive	Fold_3
Q99435	Homo sapiens	Metazoa	816	1	21	Positive	Fold_4
P36222	Homo sapiens	Metazoa	383	1	21	Positive	Fold_4
O93233	Gloydius brevicaudus siniticus	Metazoa	331	1	23	Positive	Fold_2
Q969H8	Homo sapiens	Metazoa	173	1	31	Positive	Fold_3
Q9P0V8	Homo sapiens	Metazoa	285	1	22	Positive	Fold_5
P81827	Rattus norvegicus	Metazoa	101	1	21	Positive	Fold_2
B2KNH9	Dendrobium findlayanum	Viridiplantae	167	1	24	Positive	Fold_4
Q9LJD9	Arabidopsis thaliana	Viridiplantae	60	1	27	Positive	Fold_2
Q01129	Rattus norvegicus	Metazoa	354	1	16	Positive	Fold_5
P0C194	Opisthacanthus madagascariensis	Metazoa	63	1	21	Positive	Fold_3
Q90W39	Protobothrops mucrosquamatus	Metazoa	138	1	16	Positive	Fold_4
P22394	Geotrichum candidum	Fungi	563	1	19	Positive	Fold_3
Q13145	Homo sapiens	Metazoa	260	1	20	Positive	Fold_3
P45881	Bothrops jararacussu	Metazoa	138	1	16	Positive	Fold_5
Q9HE18	Talaromyces funiculosus	Fungi	353	1	18	Positive	Fold_3
P35441	Mus musculus	Metazoa	1170	1	18	Positive	Fold_1
Q01638	Homo sapiens	Metazoa	556	1	18	Positive	Fold_1
P18329	Dendroaspis angusticeps	Metazoa	80	1	21	Positive	Fold_2
Q8I034	Felis catus	Metazoa	545	1	28	Positive	Fold_3
A4LAR6	Grifola frondosa	Fungi	107	1	24	Positive	Fold_1
P10813	Aquarana catesbeiana	Metazoa	215	1	25	Positive	Fold_2
P09923	Homo sapiens	Metazoa	528	1	19	Positive	Fold_1
Q4LCT0	Androctonus australis	Metazoa	80	1	22	Positive	Fold_3
Q95VF0	Epiphyas postvittana	Metazoa	164	1	23	Positive	Fold_3
Q9XY87	Olivierus martensii	Metazoa	85	1	21	Positive	Fold_5
P04439	Homo sapiens	Metazoa	365	1	24	Positive	Fold_3
P15529	Homo sapiens	Metazoa	392	1	34	Positive	Fold_5
P30988	Homo sapiens	Metazoa	474	1	24	Positive	Fold_5
O14786	Homo sapiens	Metazoa	923	1	21	Positive	Fold_3
Q9GQV7	Aedes aegypti	Metazoa	128	1	22	Positive	Fold_3
P09466	Homo sapiens	Metazoa	180	1	18	Positive	Fold_5
Q95NJ8	Olivierus martensii	Metazoa	55	1	23	Positive	Fold_4
P45628	Leiurus hebraeus	Metazoa	59	1	22	Positive	Fold_5
P86009	Dromaius novaehollandiae	Metazoa	238	1	17	Positive	Fold_4
P08887	Homo sapiens	Metazoa	468	1	19	Positive	Fold_1
P42264	Rattus norvegicus	Metazoa	919	1	31	Positive	Fold_5
Q86IV5	Dictyostelium discoideum	Other	258	1	21	Positive	Fold_2
Q12546	Aspergillus ficuum	Fungi	614	1	22	Positive	Fold_1
Q41162	Robinia pseudoacacia	Viridiplantae	285	1	31	Positive	Fold_2
Q09098	Mus musculus	Metazoa	99	1	23	Positive	Fold_4
Q13445	Homo sapiens	Metazoa	227	1	23	Positive	Fold_3
Q9XIV8	Nicotiana tabacum	Viridiplantae	330	1	29	Positive	Fold_1
P13744	Cucurbita maxima	Viridiplantae	480	1	21	Positive	Fold_2
Q9PUB7	Micrurus corallinus	Metazoa	78	1	21	Positive	Fold_2
Q86LE5	Rhipicephalus microplus	Metazoa	110	1	20	Positive	Fold_3
P02743	Homo sapiens	Metazoa	223	1	19	Positive	Fold_1
O88188	Mus musculus	Metazoa	162	1	19	Positive	Fold_4
Q71QE8	Crotalus viridis viridis	Metazoa	138	1	16	Positive	Fold_1
P01189	Homo sapiens	Metazoa	267	1	26	Positive	Fold_3
Q9U8X3	Tachypleus tridentatus	Metazoa	67	1	23	Positive	Fold_5
O08523	Mus musculus	Metazoa	2155	1	24	Positive	Fold_3
Q8H6Q0	Petunia hybrida	Viridiplantae	101	1	25	Positive	Fold_3
Q15762	Homo sapiens	Metazoa	336	1	18	Positive	Fold_2
O93364	Crotalus adamanteus	Metazoa	516	1	18	Positive	Fold_1
P02879	Ricinus communis	Viridiplantae	576	1	35	Positive	Fold_4
P79263	Sus scrofa	Metazoa	921	1	27	Positive	Fold_3
P16094	Momordica charantia	Viridiplantae	286	1	23	Positive	Fold_2
Q9C9H5	Arabidopsis thaliana	Viridiplantae	484	1	21	Positive	Fold_1
P19034	Bos taurus	Metazoa	101	1	22	Positive	Fold_5
O42807	Aspergillus niger	Fungi	281	1	21	Positive	Fold_5
P97515	Meriones unguiculatus	Metazoa	348	1	18	Positive	Fold_5
P02790	Homo sapiens	Metazoa	462	1	23	Positive	Fold_3
Q9VMD9	Drosophila melanogaster	Metazoa	2188	1	18	Positive	Fold_5
Q969J5	Homo sapiens	Metazoa	263	1	21	Positive	Fold_2
F0UZ12	Cavia porcellus	Metazoa	170	1	15	Positive	Fold_1
P0DN86	Homo sapiens	Metazoa	165	1	20	Positive	Fold_3
Q9R1T7	Rattus norvegicus	Metazoa	200	1	20	Positive	Fold_1
P01364	Aplysia californica	Metazoa	108	1	23	Positive	Fold_5
P55955	Caenorhabditis elegans	Metazoa	132	1	19	Positive	Fold_2
P81294	Juniperus ashei	Viridiplantae	367	1	21	Positive	Fold_3
P40967	Homo sapiens	Metazoa	661	1	24	Positive	Fold_5
Q7ZZN9	Protobothrops jerdonii	Metazoa	240	1	19	Positive	Fold_2
P08751	Equus caballus	Metazoa	169	1	20	Positive	Fold_2
P40199	Homo sapiens	Metazoa	344	1	34	Positive	Fold_5
P01572	Mus musculus	Metazoa	189	1	23	Positive	Fold_5
P13691	Hordeum vulgare	Viridiplantae	152	1	30	Positive	Fold_4
O18998	Oryctolagus cuniculus	Metazoa	281	1	21	Positive	Fold_3
Q9S7Y7	Arabidopsis thaliana	Viridiplantae	915	1	27	Positive	Fold_1
Q8T4J9	Manduca sexta	Metazoa	180	1	15	Positive	Fold_2
Q9BXJ0	Homo sapiens	Metazoa	243	1	15	Positive	Fold_1
P85196	Lonomia obliqua	Metazoa	183	1	15	Positive	Fold_4
Q9XFS7	Arabidopsis thaliana	Viridiplantae	118	1	25	Positive	Fold_3
P42255	Aspergillus niger	Fungi	499	1	18	Positive	Fold_1
P01299	Canis lupus familiaris	Metazoa	93	1	29	Positive	Fold_5
P00712	Capra hircus	Metazoa	142	1	19	Positive	Fold_4
Q0P569	Bos taurus	Metazoa	474	1	24	Positive	Fold_1
Q00193	Oryctolagus cuniculus	Metazoa	540	1	24	Positive	Fold_4
Q8WZI8	Aspergillus niger	Fungi	521	1	17	Positive	Fold_2
Q0IQK9	Oryza sativa subsp. japonica	Viridiplantae	116	1	25	Positive	Fold_3
O95407	Homo sapiens	Metazoa	300	1	29	Positive	Fold_4
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	1	51	Positive	Fold_3
P26203	Oryctolagus cuniculus	Metazoa	137	1	20	Positive	Fold_3
Q8JFX7	Bungarus multicinctus	Metazoa	103	1	21	Positive	Fold_1
P00688	Mus musculus	Metazoa	508	1	15	Positive	Fold_2
P31419	Manduca sexta	Metazoa	161	1	20	Positive	Fold_4
P02761	Rattus norvegicus	Metazoa	181	1	19	Positive	Fold_2
P26202	Oryctolagus cuniculus	Metazoa	137	1	20	Positive	Fold_1
P23806	Protobothrops flavoviridis	Metazoa	152	1	23	Positive	Fold_5
P04421	Bos taurus	Metazoa	147	1	18	Positive	Fold_5
Q8L9T8	Arabidopsis thaliana	Viridiplantae	63	1	27	Positive	Fold_2
Q8UUG2	Morone chrysops	Metazoa	79	1	22	Positive	Fold_1
Q8T113	Bombyx mori	Metazoa	227	1	17	Positive	Fold_4
P30922	Bos taurus	Metazoa	383	1	21	Positive	Fold_3
P12729	Dictyostelium discoideum	Other	168	1	19	Positive	Fold_4
P01086	Hordeum vulgare	Viridiplantae	148	1	24	Positive	Fold_4
P01005	Gallus gallus	Metazoa	210	1	24	Positive	Fold_3
Q99467	Homo sapiens	Metazoa	661	1	23	Positive	Fold_5
Q64424	Myocastor coypus	Metazoa	470	1	18	Positive	Fold_5
P04557	Bos taurus	Metazoa	140	1	25	Positive	Fold_3
P01824	Homo sapiens	Metazoa	125	1	26	Positive	Fold_5
P52823	Homo sapiens	Metazoa	247	1	17	Positive	Fold_2
P01019	Homo sapiens	Metazoa	476	1	24	Positive	Fold_4
P10675	Schistocerca americana	Metazoa	662	1	24	Positive	Fold_2
P10522	Bos taurus	Metazoa	248	1	28	Positive	Fold_4
P0DPU3	Scolopendra dehaani	Metazoa	577	1	25	Positive	Fold_2
Q8TD06	Homo sapiens	Metazoa	166	1	21	Positive	Fold_5
P02782	Rattus norvegicus	Metazoa	111	1	23	Positive	Fold_1
P13725	Homo sapiens	Metazoa	252	1	25	Positive	Fold_5
P25942	Homo sapiens	Metazoa	277	1	20	Positive	Fold_5
Q8JGT7	Protobothrops mucrosquamatus	Metazoa	158	1	23	Positive	Fold_1
P01325	Mus musculus	Metazoa	108	1	24	Positive	Fold_4
Q6H3D4	Trimeresurus stejnegeri	Metazoa	138	1	16	Positive	Fold_5
P04217	Homo sapiens	Metazoa	495	1	21	Positive	Fold_1
P0DSJ6	Myrmecia gulosa	Metazoa	62	1	24	Positive	Fold_3
B8M9H9	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	Fungi	358	1	18	Positive	Fold_1
P83326	Actinidia deliciosa	Viridiplantae	185	1	32	Positive	Fold_1
P29022	Zea mays	Viridiplantae	280	1	25	Positive	Fold_2
B7SNV8	Parabuthus granulatus	Metazoa	82	1	19	Positive	Fold_2
Q6JK69	Bothrops atrox	Metazoa	138	1	16	Positive	Fold_2
Q02809	Homo sapiens	Metazoa	727	1	18	Positive	Fold_2
O02839	Sus scrofa	Metazoa	363	1	44	Positive	Fold_4
Q8H8C7	Oryza sativa subsp. japonica	Viridiplantae	356	1	28	Positive	Fold_5
P15018	Homo sapiens	Metazoa	202	1	22	Positive	Fold_4
P05117	Solanum lycopersicum	Viridiplantae	457	1	24	Positive	Fold_1
P48096	Salmo salar	Metazoa	210	1	23	Positive	Fold_4
A8QL52	Bungarus fasciatus	Metazoa	517	1	19	Positive	Fold_5
P52798	Homo sapiens	Metazoa	201	1	25	Positive	Fold_4
P86929	Metaphire guillelmi	Metazoa	73	1	14	Positive	Fold_2
P01015	Rattus norvegicus	Metazoa	477	1	24	Positive	Fold_1
Q28143	Bos taurus	Metazoa	456	1	35	Positive	Fold_3
P55773	Homo sapiens	Metazoa	120	1	21	Positive	Fold_3
P97710	Rattus norvegicus	Metazoa	509	1	31	Positive	Fold_3
O95994	Homo sapiens	Metazoa	175	1	20	Positive	Fold_2
P37042	Gallus gallus	Metazoa	92	1	23	Positive	Fold_3
P01833	Homo sapiens	Metazoa	764	1	18	Positive	Fold_1
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	1	26	Positive	Fold_3
P07994	Bos taurus	Metazoa	360	1	17	Positive	Fold_4
P01317	Bos taurus	Metazoa	105	1	24	Positive	Fold_5
P02656	Homo sapiens	Metazoa	99	1	20	Positive	Fold_2
P49755	Homo sapiens	Metazoa	219	1	31	Positive	Fold_2
P20933	Homo sapiens	Metazoa	346	1	23	Positive	Fold_1
P02727	Canis lupus familiaris	Metazoa	129	1	17	Positive	Fold_1
Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	1	20	Positive	Fold_5
P00713	Cavia porcellus	Metazoa	142	1	19	Positive	Fold_3
P04706	Zea mays	Viridiplantae	223	1	19	Positive	Fold_5
P82144	Gloydius brevicaudus siniticus	Metazoa	200	1	19	Positive	Fold_1
Q99538	Homo sapiens	Metazoa	433	1	17	Positive	Fold_3
P35807	Schistocerca nitens	Metazoa	61	1	22	Positive	Fold_5
Q5WPU9	Lutzomyia longipalpis	Metazoa	399	1	18	Positive	Fold_1
Q8QGR0	Dendroaspis angusticeps	Metazoa	86	1	21	Positive	Fold_4
P20959	Bos taurus	Metazoa	291	1	27	Positive	Fold_4
P27797	Homo sapiens	Metazoa	417	1	17	Positive	Fold_1
Q9ZT66	Zea mays	Viridiplantae	303	1	43	Positive	Fold_2
Q8MMH5	Pimpla hypochondriaca	Metazoa	61	1	20	Positive	Fold_4
Q8MTX2	Opisthacanthus madagascariensis	Metazoa	71	1	23	Positive	Fold_4
P26776	Sus scrofa	Metazoa	153	1	20	Positive	Fold_3
P01229	Homo sapiens	Metazoa	141	1	20	Positive	Fold_5
P0DUT0	Doratifera vulnerans	Metazoa	46	1	19	Positive	Fold_4
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	1	21	Positive	Fold_1
Q7SZI7	Xenopus laevis	Metazoa	1219	1	22	Positive	Fold_5
Q7T1K6	Naja atra	Metazoa	239	1	18	Positive	Fold_1
P01597	Homo sapiens	Metazoa	117	1	22	Positive	Fold_1
P34998	Homo sapiens	Metazoa	415	1	23	Positive	Fold_3
Q8N441	Homo sapiens	Metazoa	504	1	24	Positive	Fold_2
Q05186	Mus musculus	Metazoa	325	1	23	Positive	Fold_5
Q02567	Phanerodontia chrysosporium	Fungi	378	1	21	Positive	Fold_4
Q53B59	Ophiophagus hannah	Metazoa	91	1	21	Positive	Fold_2
G1CWH8	Clitoria ternatea	Viridiplantae	123	1	28	Positive	Fold_1
P02701	Gallus gallus	Metazoa	152	1	24	Positive	Fold_1
P14133	Cucumis sativus	Viridiplantae	587	1	33	Positive	Fold_1
Q5PP12	Arabidopsis thaliana	Viridiplantae	69	1	25	Positive	Fold_4
Q6UWE3	Homo sapiens	Metazoa	100	1	21	Positive	Fold_3
Q96318	Arabidopsis thaliana	Viridiplantae	524	1	23	Positive	Fold_2
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	1	22	Positive	Fold_4
P02866	Canavalia ensiformis	Viridiplantae	290	1	29	Positive	Fold_5
E0D877	Aedes albopictus	Metazoa	564	1	25	Positive	Fold_1
P18709	Xenopus laevis	Metazoa	1807	1	15	Positive	Fold_5
P01246	Bos taurus	Metazoa	217	1	26	Positive	Fold_2
P68248	Gallus gallus	Metazoa	80	1	25	Positive	Fold_1
Q8AV98	Protobothrops flavoviridis	Metazoa	148	1	23	Positive	Fold_4
Q8UVU7	Cerrophidion godmani	Metazoa	137	1	16	Positive	Fold_1
P59938	Olivierus martensii	Metazoa	57	1	21	Positive	Fold_5
P80162	Homo sapiens	Metazoa	114	1	37	Positive	Fold_2
P19883	Homo sapiens	Metazoa	344	1	29	Positive	Fold_5
Q15465	Homo sapiens	Metazoa	462	1	23	Positive	Fold_2
