EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd
O14926	Homo sapiens	Metazoa	492	None	None
O14933	Homo sapiens	Metazoa	153	None	None
O14939	Homo sapiens	Metazoa	933	None	None
O14949	Homo sapiens	Metazoa	82	None	None
O14975	Homo sapiens	Metazoa	620	None	None
O14979	Homo sapiens	Metazoa	420	None	None
O14994	Homo sapiens	Metazoa	580	None	None
O15067	Homo sapiens	Metazoa	1338	None	None
O15078	Homo sapiens	Metazoa	2479	None	None
O15111	Homo sapiens	Metazoa	745	None	None
O15116	Homo sapiens	Metazoa	133	None	None
O15119	Homo sapiens	Metazoa	743	None	None
O15127	Homo sapiens	Metazoa	329	None	None
O15156	Homo sapiens	Metazoa	539	None	None
O15162	Homo sapiens	Metazoa	318	None	None
O15169	Homo sapiens	Metazoa	862	None	None
O15245	Homo sapiens	Metazoa	554	None	None
O15247	Homo sapiens	Metazoa	247	None	None
O15259	Homo sapiens	Metazoa	732	None	None
O15260	Homo sapiens	Metazoa	269	None	None
O15265	Homo sapiens	Metazoa	892	None	None
O15266	Homo sapiens	Metazoa	292	None	None
O15269	Homo sapiens	Metazoa	473	None	None
O15297	Homo sapiens	Metazoa	605	None	None
O15318	Homo sapiens	Metazoa	223	None	None
O15370	Homo sapiens	Metazoa	315	None	None
O15400	Homo sapiens	Metazoa	261	None	None
O15446	Homo sapiens	Metazoa	510	None	None
O15484	Homo sapiens	Metazoa	640	None	None
O15488	Homo sapiens	Metazoa	501	None	None
O15511	Homo sapiens	Metazoa	151	None	None
O15540	Homo sapiens	Metazoa	132	None	None
O15541	Homo sapiens	Metazoa	343	None	None
O15551	Homo sapiens	Metazoa	220	None	None
O15554	Homo sapiens	Metazoa	427	None	None
O42043	Homo sapiens	Metazoa	560	None	None
O43143	Homo sapiens	Metazoa	795	None	None
O43166	Homo sapiens	Metazoa	1804	None	None
O43172	Homo sapiens	Metazoa	522	None	None
O43181	Homo sapiens	Metazoa	175	None	None
O43196	Homo sapiens	Metazoa	834	None	None
O43237	Homo sapiens	Metazoa	492	None	None
O43264	Homo sapiens	Metazoa	779	None	None
O43294	Homo sapiens	Metazoa	461	None	None
O43310	Homo sapiens	Metazoa	598	None	None
O43395	Homo sapiens	Metazoa	683	None	None
O43439	Homo sapiens	Metazoa	604	None	None
O43464	Homo sapiens	Metazoa	458	None	None
O43474	Homo sapiens	Metazoa	513	None	None
O43521	Homo sapiens	Metazoa	198	None	None
O43525	Homo sapiens	Metazoa	872	None	None
O43526	Homo sapiens	Metazoa	872	None	None
O43529	Homo sapiens	Metazoa	356	None	None
O43543	Homo sapiens	Metazoa	280	None	None
O43548	Homo sapiens	Metazoa	720	None	None
O43556	Homo sapiens	Metazoa	437	None	None
O43566	Homo sapiens	Metazoa	566	None	None
O43581	Homo sapiens	Metazoa	403	None	None
O43593	Homo sapiens	Metazoa	1189	None	None
O43598	Homo sapiens	Metazoa	174	None	None
O43603	Homo sapiens	Metazoa	387	None	None
O43609	Homo sapiens	Metazoa	319	None	None
O43715	Homo sapiens	Metazoa	76	None	None
O43719	Homo sapiens	Metazoa	755	None	None
O43761	Homo sapiens	Metazoa	229	None	None
O43763	Homo sapiens	Metazoa	284	None	None
O43808	Homo sapiens	Metazoa	307	None	None
O43818	Homo sapiens	Metazoa	475	None	None
O43823	Homo sapiens	Metazoa	692	None	None
O43825	Homo sapiens	Metazoa	422	None	None
O43826	Homo sapiens	Metazoa	429	None	None
O43865	Homo sapiens	Metazoa	530	None	None
O43868	Homo sapiens	Metazoa	658	None	None
O43903	Homo sapiens	Metazoa	313	None	None
O43913	Homo sapiens	Metazoa	435	None	None
O60235	Homo sapiens	Metazoa	418	None	None
O60264	Homo sapiens	Metazoa	1052	None	None
O60266	Homo sapiens	Metazoa	1144	None	None
O60281	Homo sapiens	Metazoa	2723	None	None
O60284	Homo sapiens	Metazoa	1047	None	None
O60307	Homo sapiens	Metazoa	1309	None	None
O60315	Homo sapiens	Metazoa	1214	None	None
O60381	Homo sapiens	Metazoa	514	None	None
O60393	Homo sapiens	Metazoa	691	None	None
O60481	Homo sapiens	Metazoa	467	None	None
O60502	Homo sapiens	Metazoa	916	None	None
O60519	Homo sapiens	Metazoa	120	None	None
O60548	Homo sapiens	Metazoa	495	None	None
O60635	Homo sapiens	Metazoa	241	None	None
O60636	Homo sapiens	Metazoa	221	None	None
O60678	Homo sapiens	Metazoa	531	None	None
O60682	Homo sapiens	Metazoa	206	None	None
O60706	Homo sapiens	Metazoa	1549	None	None
O60729	Homo sapiens	Metazoa	498	None	None
O60741	Homo sapiens	Metazoa	890	None	None
O60759	Homo sapiens	Metazoa	359	None	None
O60784	Homo sapiens	Metazoa	492	None	None
O60814	Homo sapiens	Metazoa	126	None	None
O60831	Homo sapiens	Metazoa	178	None	None
O60879	Homo sapiens	Metazoa	1101	None	None
O60884	Homo sapiens	Metazoa	412	None	None
O60909	Homo sapiens	Metazoa	372	None	None
O60921	Homo sapiens	Metazoa	280	None	None
O60930	Homo sapiens	Metazoa	286	None	None
O60941	Homo sapiens	Metazoa	627	None	None
O60942	Homo sapiens	Metazoa	597	None	None
O75072	Homo sapiens	Metazoa	461	None	None
O75132	Homo sapiens	Metazoa	1171	None	None
O75151	Homo sapiens	Metazoa	1096	None	None
O75159	Homo sapiens	Metazoa	536	None	None
O75175	Homo sapiens	Metazoa	753	None	None
O75177	Homo sapiens	Metazoa	396	None	None
O75190	Homo sapiens	Metazoa	326	None	None
O75191	Homo sapiens	Metazoa	536	None	None
O75319	Homo sapiens	Metazoa	330	None	None
O75334	Homo sapiens	Metazoa	1257	None	None
O75344	Homo sapiens	Metazoa	327	None	None
O75365	Homo sapiens	Metazoa	173	None	None
O75367	Homo sapiens	Metazoa	369	None	None
O75369	Homo sapiens	Metazoa	2602	None	None
O75376	Homo sapiens	Metazoa	2440	None	None
O75379	Homo sapiens	Metazoa	141	None	None
O75390	Homo sapiens	Metazoa	466	None	None
O75396	Homo sapiens	Metazoa	215	None	None
O75438	Homo sapiens	Metazoa	58	None	None
O75449	Homo sapiens	Metazoa	491	None	None
O75469	Homo sapiens	Metazoa	434	None	None
O75475	Homo sapiens	Metazoa	530	None	None
O75486	Homo sapiens	Metazoa	317	None	None
O75503	Homo sapiens	Metazoa	358	None	None
O75554	Homo sapiens	Metazoa	376	None	None
O75558	Homo sapiens	Metazoa	287	None	None
O75564	Homo sapiens	Metazoa	556	None	None
O75618	Homo sapiens	Metazoa	318	None	None
O75628	Homo sapiens	Metazoa	298	None	None
O75638	Homo sapiens	Metazoa	210	None	None
O75648	Homo sapiens	Metazoa	421	None	None
O75674	Homo sapiens	Metazoa	476	None	None
O75679	Homo sapiens	Metazoa	317	None	None
O75683	Homo sapiens	Metazoa	361	None	None
O75752	Homo sapiens	Metazoa	331	None	None
O75762	Homo sapiens	Metazoa	1119	None	None
O75781	Homo sapiens	Metazoa	387	None	None
O75807	Homo sapiens	Metazoa	674	None	None
O75815	Homo sapiens	Metazoa	825	None	None
O75821	Homo sapiens	Metazoa	320	None	None
O75828	Homo sapiens	Metazoa	277	None	None
O75838	Homo sapiens	Metazoa	187	None	None
O75864	Homo sapiens	Metazoa	691	None	None
O75879	Homo sapiens	Metazoa	557	None	None
O75884	Homo sapiens	Metazoa	186	None	None
O75897	Homo sapiens	Metazoa	302	None	None
O75928	Homo sapiens	Metazoa	621	None	None
O75935	Homo sapiens	Metazoa	186	None	None
O75952	Homo sapiens	Metazoa	493	None	None
O75956	Homo sapiens	Metazoa	126	None	None
O75964	Homo sapiens	Metazoa	103	None	None
O75969	Homo sapiens	Metazoa	853	None	None
O76027	Homo sapiens	Metazoa	345	None	None
O76039	Homo sapiens	Metazoa	960	None	None
O76074	Homo sapiens	Metazoa	875	None	None
O76075	Homo sapiens	Metazoa	338	None	None
O77932	Homo sapiens	Metazoa	396	None	None
O94762	Homo sapiens	Metazoa	991	None	None
O94768	Homo sapiens	Metazoa	372	None	None
O94805	Homo sapiens	Metazoa	426	None	None
O94808	Homo sapiens	Metazoa	682	None	None
O94810	Homo sapiens	Metazoa	467	None	None
O94818	Homo sapiens	Metazoa	638	None	None
O94876	Homo sapiens	Metazoa	653	None	None
O94889	Homo sapiens	Metazoa	574	None	None
O94901	Homo sapiens	Metazoa	785	None	None
O94923	Homo sapiens	Metazoa	617	None	None
O94964	Homo sapiens	Metazoa	1661	None	None
O94983	Homo sapiens	Metazoa	1202	None	None
O94993	Homo sapiens	Metazoa	753	None	None
O95049	Homo sapiens	Metazoa	919	None	None
O95125	Homo sapiens	Metazoa	648	None	None
O95139	Homo sapiens	Metazoa	128	None	None
O95153	Homo sapiens	Metazoa	1857	None	None
O95154	Homo sapiens	Metazoa	331	None	None
O95155	Homo sapiens	Metazoa	1302	None	None
O95169	Homo sapiens	Metazoa	186	None	None
O95208	Homo sapiens	Metazoa	641	None	None
O95237	Homo sapiens	Metazoa	230	None	None
O95248	Homo sapiens	Metazoa	1868	None	None
O95260	Homo sapiens	Metazoa	518	None	None
O95294	Homo sapiens	Metazoa	804	None	None
O95298	Homo sapiens	Metazoa	119	None	None
O95342	Homo sapiens	Metazoa	1321	None	None
O95343	Homo sapiens	Metazoa	332	None	None
O95352	Homo sapiens	Metazoa	703	None	None
O95361	Homo sapiens	Metazoa	564	None	None
O95373	Homo sapiens	Metazoa	1038	None	None
O95394	Homo sapiens	Metazoa	542	None	None
O95415	Homo sapiens	Metazoa	125	None	None
O95427	Homo sapiens	Metazoa	931	None	None
O95429	Homo sapiens	Metazoa	457	None	None
O95447	Homo sapiens	Metazoa	670	None	None
O95466	Homo sapiens	Metazoa	1100	None	None
O95470	Homo sapiens	Metazoa	568	None	None
O95528	Homo sapiens	Metazoa	541	None	None
O95544	Homo sapiens	Metazoa	446	None	None
O95571	Homo sapiens	Metazoa	254	None	None
O95622	Homo sapiens	Metazoa	1261	None	None
O95630	Homo sapiens	Metazoa	424	None	None
O95670	Homo sapiens	Metazoa	118	None	None
O95674	Homo sapiens	Metazoa	445	None	None
O95714	Homo sapiens	Metazoa	4834	None	None
O95741	Homo sapiens	Metazoa	557	None	None
O95758	Homo sapiens	Metazoa	552	None	None
O95777	Homo sapiens	Metazoa	96	None	None
O95782	Homo sapiens	Metazoa	977	None	None
O95793	Homo sapiens	Metazoa	577	None	None
O95807	Homo sapiens	Metazoa	157	None	None
O95835	Homo sapiens	Metazoa	1130	None	None
O95843	Homo sapiens	Metazoa	209	None	None
O95876	Homo sapiens	Metazoa	746	None	None
O95886	Homo sapiens	Metazoa	979	None	None
O95905	Homo sapiens	Metazoa	644	None	None
O95907	Homo sapiens	Metazoa	504	None	None
O95977	Homo sapiens	Metazoa	384	None	None
O95990	Homo sapiens	Metazoa	144	None	None
O95996	Homo sapiens	Metazoa	2303	None	None
O96000	Homo sapiens	Metazoa	172	None	None
O96004	Homo sapiens	Metazoa	215	None	None
O96005	Homo sapiens	Metazoa	669	None	None
P00338	Homo sapiens	Metazoa	332	None	None
P00374	Homo sapiens	Metazoa	187	None	None
P00480	Homo sapiens	Metazoa	354	None	None
P00505	Homo sapiens	Metazoa	430	None	None
P00519	Homo sapiens	Metazoa	1130	None	None
P00846	Homo sapiens	Metazoa	226	None	None
P01877	Homo sapiens	Metazoa	391	None	None
P02511	Homo sapiens	Metazoa	175	None	None
P02538	Homo sapiens	Metazoa	564	None	None
P02786	Homo sapiens	Metazoa	760	None	None
P03915	Homo sapiens	Metazoa	603	None	None
P03999	Homo sapiens	Metazoa	345	None	None
P04080	Homo sapiens	Metazoa	98	None	None
P04179	Homo sapiens	Metazoa	222	None	None
P04198	Homo sapiens	Metazoa	464	None	None
P04201	Homo sapiens	Metazoa	325	None	None
P04406	Homo sapiens	Metazoa	335	None	None
P04731	Homo sapiens	Metazoa	61	None	None
P05177	Homo sapiens	Metazoa	516	None	None
P05204	Homo sapiens	Metazoa	90	None	None
P05386	Homo sapiens	Metazoa	114	None	None
P05787	Homo sapiens	Metazoa	483	None	None
P05813	Homo sapiens	Metazoa	215	None	None
P05976	Homo sapiens	Metazoa	194	None	None
P06454	Homo sapiens	Metazoa	111	None	None
P06734	Homo sapiens	Metazoa	321	None	None
P06899	Homo sapiens	Metazoa	126	None	None
P07197	Homo sapiens	Metazoa	916	None	None
P07305	Homo sapiens	Metazoa	194	None	None
P07384	Homo sapiens	Metazoa	714	None	None
P07438	Homo sapiens	Metazoa	61	None	None
P07737	Homo sapiens	Metazoa	140	None	None
P07902	Homo sapiens	Metazoa	379	None	None
P07910	Homo sapiens	Metazoa	306	None	None
P08172	Homo sapiens	Metazoa	466	None	None
P08621	Homo sapiens	Metazoa	437	None	None
P08670	Homo sapiens	Metazoa	466	None	None
P08865	Homo sapiens	Metazoa	295	None	None
P09017	Homo sapiens	Metazoa	264	None	None
P09038	Homo sapiens	Metazoa	288	None	None
P09086	Homo sapiens	Metazoa	479	None	None
P09467	Homo sapiens	Metazoa	338	None	None
P09493	Homo sapiens	Metazoa	284	None	None
P09496	Homo sapiens	Metazoa	248	None	None
P09525	Homo sapiens	Metazoa	319	None	None
P09543	Homo sapiens	Metazoa	421	None	None
P09769	Homo sapiens	Metazoa	529	None	None
P09874	Homo sapiens	Metazoa	1014	None	None
P09884	Homo sapiens	Metazoa	1462	None	None
P09912	Homo sapiens	Metazoa	130	None	None
P09914	Homo sapiens	Metazoa	478	None	None
P09936	Homo sapiens	Metazoa	223	None	None
P0C024	Homo sapiens	Metazoa	238	None	None
P0C0S8	Homo sapiens	Metazoa	130	None	None
P0C5Z0	Homo sapiens	Metazoa	115	None	None
P0C7P0	Homo sapiens	Metazoa	127	None	None
P0C870	Homo sapiens	Metazoa	316	None	None
P0CAP2	Homo sapiens	Metazoa	368	None	None
P0CG20	Homo sapiens	Metazoa	571	None	None
P0DI81	Homo sapiens	Metazoa	140	None	None
P0DI82	Homo sapiens	Metazoa	140	None	None
P0DI83	Homo sapiens	Metazoa	198	None	None
P0DMS8	Homo sapiens	Metazoa	318	None	None
P0DPB6	Homo sapiens	Metazoa	133	None	None
P0DPH7	Homo sapiens	Metazoa	450	None	None
P0DPK4	Homo sapiens	Metazoa	293	None	None
P10176	Homo sapiens	Metazoa	69	None	None
P10276	Homo sapiens	Metazoa	462	None	None
P10523	Homo sapiens	Metazoa	405	None	None
P10620	Homo sapiens	Metazoa	155	None	None
P10632	Homo sapiens	Metazoa	490	None	None
P10635	Homo sapiens	Metazoa	497	None	None
P10911	Homo sapiens	Metazoa	925	None	None
P10916	Homo sapiens	Metazoa	166	None	None
P11055	Homo sapiens	Metazoa	1940	None	None
P11137	Homo sapiens	Metazoa	1827	None	None
P11233	Homo sapiens	Metazoa	206	None	None
P11308	Homo sapiens	Metazoa	479	None	None
P11441	Homo sapiens	Metazoa	157	None	None
P11686	Homo sapiens	Metazoa	197	None	None
P11766	Homo sapiens	Metazoa	374	None	None
P11801	Homo sapiens	Metazoa	424	None	None
P12004	Homo sapiens	Metazoa	261	None	None
P12035	Homo sapiens	Metazoa	628	None	None
P12036	Homo sapiens	Metazoa	1020	None	None
P12694	Homo sapiens	Metazoa	445	None	None
P12814	Homo sapiens	Metazoa	892	None	None
P13051	Homo sapiens	Metazoa	313	None	None
P13164	Homo sapiens	Metazoa	125	None	None
P13378	Homo sapiens	Metazoa	290	None	None
P13489	Homo sapiens	Metazoa	461	None	None
P13646	Homo sapiens	Metazoa	458	None	None
P13647	Homo sapiens	Metazoa	590	None	None
P13716	Homo sapiens	Metazoa	330	None	None
P13866	Homo sapiens	Metazoa	664	None	None
P13928	Homo sapiens	Metazoa	327	None	None
P13994	Homo sapiens	Metazoa	396	None	None
P14060	Homo sapiens	Metazoa	373	None	None
P14136	Homo sapiens	Metazoa	432	None	None
P14174	Homo sapiens	Metazoa	115	None	None
P14317	Homo sapiens	Metazoa	486	None	None
P14550	Homo sapiens	Metazoa	325	None	None
P14649	Homo sapiens	Metazoa	208	None	None
P14652	Homo sapiens	Metazoa	356	None	None
P14678	Homo sapiens	Metazoa	240	None	None
P14735	Homo sapiens	Metazoa	1019	None	None
P14920	Homo sapiens	Metazoa	347	None	None
P15090	Homo sapiens	Metazoa	132	None	None
P15104	Homo sapiens	Metazoa	373	None	None
P15170	Homo sapiens	Metazoa	499	None	None
P15313	Homo sapiens	Metazoa	513	None	None
P15374	Homo sapiens	Metazoa	230	None	None
P15428	Homo sapiens	Metazoa	266	None	None
P15880	Homo sapiens	Metazoa	293	None	None
P15923	Homo sapiens	Metazoa	654	None	None
P16383	Homo sapiens	Metazoa	781	None	None
P16389	Homo sapiens	Metazoa	499	None	None
P16455	Homo sapiens	Metazoa	207	None	None
P16591	Homo sapiens	Metazoa	822	None	None
P16615	Homo sapiens	Metazoa	1042	None	None
P16989	Homo sapiens	Metazoa	372	None	None
P17022	Homo sapiens	Metazoa	549	None	None
P17023	Homo sapiens	Metazoa	458	None	None
P17040	Homo sapiens	Metazoa	1043	None	None
P17096	Homo sapiens	Metazoa	107	None	None
P17252	Homo sapiens	Metazoa	672	None	None
P17509	Homo sapiens	Metazoa	224	None	None
P17540	Homo sapiens	Metazoa	419	None	None
P17676	Homo sapiens	Metazoa	345	None	None
P17812	Homo sapiens	Metazoa	591	None	None
P17861	Homo sapiens	Metazoa	261	None	None
P17947	Homo sapiens	Metazoa	270	None	None
P17987	Homo sapiens	Metazoa	556	None	None
P18074	Homo sapiens	Metazoa	760	None	None
P18124	Homo sapiens	Metazoa	248	None	None
P18440	Homo sapiens	Metazoa	290	None	None
P18621	Homo sapiens	Metazoa	184	None	None
P18669	Homo sapiens	Metazoa	254	None	None
P18848	Homo sapiens	Metazoa	351	None	None
P18858	Homo sapiens	Metazoa	919	None	None
P19099	Homo sapiens	Metazoa	503	None	None
P19113	Homo sapiens	Metazoa	662	None	None
P19367	Homo sapiens	Metazoa	917	None	None
P19484	Homo sapiens	Metazoa	476	None	None
P19532	Homo sapiens	Metazoa	575	None	None
P19634	Homo sapiens	Metazoa	815	None	None
P20132	Homo sapiens	Metazoa	328	None	None
P20292	Homo sapiens	Metazoa	161	None	None
P20338	Homo sapiens	Metazoa	218	None	None
P20618	Homo sapiens	Metazoa	241	None	None
P20700	Homo sapiens	Metazoa	586	None	None
P20794	Homo sapiens	Metazoa	623	None	None
P20815	Homo sapiens	Metazoa	502	None	None
P20823	Homo sapiens	Metazoa	631	None	None
P21127	Homo sapiens	Metazoa	795	None	None
P21359	Homo sapiens	Metazoa	2839	None	None
P21439	Homo sapiens	Metazoa	1286	None	None
P21675	Homo sapiens	Metazoa	1893	None	None
P21728	Homo sapiens	Metazoa	446	None	None
P21757	Homo sapiens	Metazoa	451	None	None
P21796	Homo sapiens	Metazoa	283	None	None
P21926	Homo sapiens	Metazoa	228	None	None
P21980	Homo sapiens	Metazoa	687	None	None
P22307	Homo sapiens	Metazoa	547	None	None
P22492	Homo sapiens	Metazoa	207	None	None
P22570	Homo sapiens	Metazoa	491	None	None
P22674	Homo sapiens	Metazoa	350	None	None
P22732	Homo sapiens	Metazoa	501	None	None
P22735	Homo sapiens	Metazoa	817	None	None
P23193	Homo sapiens	Metazoa	301	None	None
P23409	Homo sapiens	Metazoa	242	None	None
P23458	Homo sapiens	Metazoa	1154	None	None
P23786	Homo sapiens	Metazoa	658	None	None
P23921	Homo sapiens	Metazoa	792	None	None
P23942	Homo sapiens	Metazoa	346	None	None
P24278	Homo sapiens	Metazoa	435	None	None
P24666	Homo sapiens	Metazoa	158	None	None
P25025	Homo sapiens	Metazoa	360	None	None
P25098	Homo sapiens	Metazoa	689	None	None
P25103	Homo sapiens	Metazoa	407	None	None
P25106	Homo sapiens	Metazoa	362	None	None
P25440	Homo sapiens	Metazoa	801	None	None
P25788	Homo sapiens	Metazoa	255	None	None
P25874	Homo sapiens	Metazoa	307	None	None
P25929	Homo sapiens	Metazoa	384	None	None
P26038	Homo sapiens	Metazoa	577	None	None
P26368	Homo sapiens	Metazoa	475	None	None
P26439	Homo sapiens	Metazoa	372	None	None
P26447	Homo sapiens	Metazoa	101	None	None
P26639	Homo sapiens	Metazoa	723	None	None
P27144	Homo sapiens	Metazoa	223	None	None
P27338	Homo sapiens	Metazoa	520	None	None
P27449	Homo sapiens	Metazoa	155	None	None
P27482	Homo sapiens	Metazoa	149	None	None
P27694	Homo sapiens	Metazoa	616	None	None
P27695	Homo sapiens	Metazoa	318	None	None
P28069	Homo sapiens	Metazoa	291	None	None
P28330	Homo sapiens	Metazoa	430	None	None
P28340	Homo sapiens	Metazoa	1107	None	None
P28347	Homo sapiens	Metazoa	426	None	None
P28360	Homo sapiens	Metazoa	303	None	None
P28370	Homo sapiens	Metazoa	1042	None	None
P28562	Homo sapiens	Metazoa	367	None	None
P28698	Homo sapiens	Metazoa	734	None	None
P29034	Homo sapiens	Metazoa	98	None	None
P29084	Homo sapiens	Metazoa	291	None	None
P29275	Homo sapiens	Metazoa	332	None	None
P29353	Homo sapiens	Metazoa	583	None	None
P29371	Homo sapiens	Metazoa	465	None	None
P29375	Homo sapiens	Metazoa	1690	None	None
P29475	Homo sapiens	Metazoa	1434	None	None
P29508	Homo sapiens	Metazoa	390	None	None
P29536	Homo sapiens	Metazoa	600	None	None
P29728	Homo sapiens	Metazoa	719	None	None
P29966	Homo sapiens	Metazoa	332	None	None
P30043	Homo sapiens	Metazoa	206	None	None
P30049	Homo sapiens	Metazoa	168	None	None
P30260	Homo sapiens	Metazoa	824	None	None
P30281	Homo sapiens	Metazoa	292	None	None
P30307	Homo sapiens	Metazoa	473	None	None
P30542	Homo sapiens	Metazoa	326	None	None
P30838	Homo sapiens	Metazoa	453	None	None
P30968	Homo sapiens	Metazoa	328	None	None
P31040	Homo sapiens	Metazoa	664	None	None
P31269	Homo sapiens	Metazoa	272	None	None
P31271	Homo sapiens	Metazoa	388	None	None
P31276	Homo sapiens	Metazoa	330	None	None
P31391	Homo sapiens	Metazoa	388	None	None
P31645	Homo sapiens	Metazoa	630	None	None
P31941	Homo sapiens	Metazoa	199	None	None
P31948	Homo sapiens	Metazoa	543	None	None
P31949	Homo sapiens	Metazoa	105	None	None
P32239	Homo sapiens	Metazoa	447	None	None
P32246	Homo sapiens	Metazoa	355	None	None
P32298	Homo sapiens	Metazoa	578	None	None
P32320	Homo sapiens	Metazoa	146	None	None
P32321	Homo sapiens	Metazoa	178	None	None
P32322	Homo sapiens	Metazoa	319	None	None
P32754	Homo sapiens	Metazoa	393	None	None
P32970	Homo sapiens	Metazoa	193	None	None
P33763	Homo sapiens	Metazoa	92	None	None
P33778	Homo sapiens	Metazoa	126	None	None
P33981	Homo sapiens	Metazoa	857	None	None
P33991	Homo sapiens	Metazoa	863	None	None
P34897	Homo sapiens	Metazoa	504	None	None
P34949	Homo sapiens	Metazoa	423	None	None
P34982	Homo sapiens	Metazoa	312	None	None
P35221	Homo sapiens	Metazoa	906	None	None
P35232	Homo sapiens	Metazoa	272	None	None
P35237	Homo sapiens	Metazoa	376	None	None
P35241	Homo sapiens	Metazoa	583	None	None
P35243	Homo sapiens	Metazoa	200	None	None
P35270	Homo sapiens	Metazoa	261	None	None
P35321	Homo sapiens	Metazoa	89	None	None
P35326	Homo sapiens	Metazoa	72	None	None
P35414	Homo sapiens	Metazoa	380	None	None
P35452	Homo sapiens	Metazoa	270	None	None
P35462	Homo sapiens	Metazoa	400	None	None
P35573	Homo sapiens	Metazoa	1532	None	None
P35637	Homo sapiens	Metazoa	526	None	None
