Accession	Organism	Kingdom	Sequence length	N-term transmembrane
P25451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205	False
Q54T86	Dictyostelium discoideum	Other	568	False
Q08B36	Xenopus laevis	Metazoa	374	False
Q8CJ67	Mus musculus	Metazoa	570	False
O13563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	156	False
P38989	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1170	False
A2AIV2	Mus musculus	Metazoa	1811	False
Q8TDG4	Homo sapiens	Metazoa	1101	False
Q8N684	Homo sapiens	Metazoa	471	False
E9Q7G0	Mus musculus	Metazoa	2094	False
Q9UTM0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249	False
Q6KCD5	Mus musculus	Metazoa	2798	False
P53226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	547	False
O13788	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	527	False
A2ARP9	Mus musculus	Metazoa	588	False
Q12373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	385	False
Q91YT0	Mus musculus	Metazoa	464	False
P32198	Rattus norvegicus	Metazoa	773	True
P20436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	False
P53507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	60	True
P10664	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	362	False
P82929	Bos taurus	Metazoa	218	False
Q9UT23	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	834	False
P40995	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	872	False
O45952	Caenorhabditis elegans	Metazoa	249	False
Q8IW03	Homo sapiens	Metazoa	269	False
Q5VWQ8	Homo sapiens	Metazoa	1189	False
A0A509AER3	Plasmodium berghei (strain Anka)	Other	247	False
O23166	Arabidopsis thaliana	Viridiplantae	261	False
Q53F19	Homo sapiens	Metazoa	620	False
P40505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327	False
P40344	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310	False
Q9JM80	Rattus norvegicus	Metazoa	424	False
P52756	Homo sapiens	Metazoa	815	False
Q15849	Homo sapiens	Metazoa	920	False
Q6IN84	Homo sapiens	Metazoa	353	False
Q3E840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	82	False
P33447	Trypanosoma cruzi	Other	416	False
O80386	Arabidopsis thaliana	Viridiplantae	1058	False
O04209	Arabidopsis thaliana	Viridiplantae	258	False
Q8BZ97	Mus musculus	Metazoa	688	False
Q13495	Homo sapiens	Metazoa	774	False
O74381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	467	False
Q08357	Homo sapiens	Metazoa	652	True
Q9NR83	Homo sapiens	Metazoa	387	False
A6NDU8	Homo sapiens	Metazoa	294	False
O74433	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	67	True
Q9UQ35	Homo sapiens	Metazoa	2752	False
Q9VVA8	Drosophila melanogaster	Metazoa	78	True
P41002	Homo sapiens	Metazoa	786	False
Q9LN09	Arabidopsis thaliana	Viridiplantae	206	False
P53004	Homo sapiens	Metazoa	296	False
A0A076FFM5	Ocimum basilicum	Viridiplantae	523	False
O75127	Homo sapiens	Metazoa	700	False
P19973	Mus musculus	Metazoa	330	False
Q8IYL3	Homo sapiens	Metazoa	243	False
Q8N3Z6	Homo sapiens	Metazoa	543	False
Q5VWP2	Homo sapiens	Metazoa	391	False
Q99NF1	Mus musculus	Metazoa	532	False
P19536	Mus musculus	Metazoa	128	False
Q9DBU6	Mus musculus	Metazoa	334	False
Q56A73	Homo sapiens	Metazoa	249	False
Q15436	Homo sapiens	Metazoa	765	False
O49929	Pisum sativum	Viridiplantae	213	False
Q6UFS5	Danio rerio	Metazoa	563	False
P59648	Mus musculus	Metazoa	80	True
Q9VRP5	Drosophila melanogaster	Metazoa	1038	False
Q9P212	Homo sapiens	Metazoa	2302	False
Q6UXY1	Homo sapiens	Metazoa	529	False
O88484	Rattus norvegicus	Metazoa	530	False
Q9BRA0	Homo sapiens	Metazoa	125	False
Q04705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	352	True
P53064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	558	False
Q9SJ12	Arabidopsis thaliana	Viridiplantae	240	False
O43502	Homo sapiens	Metazoa	376	False
Q43715	Pisum sativum	Viridiplantae	809	False
Q08492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214	False
Q9H814	Homo sapiens	Metazoa	394	False
P42695	Homo sapiens	Metazoa	1498	False
P46970	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1048	False
Q86WB7	Homo sapiens	Metazoa	457	True
P33759	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307	False
Q96MT3	Homo sapiens	Metazoa	831	False
P43596	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	787	False
O24164	Nicotiana tabacum	Viridiplantae	504	False
Q9SZH4	Arabidopsis thaliana	Viridiplantae	495	False
P20000	Bos taurus	Metazoa	520	False
Q923W1	Mus musculus	Metazoa	853	False
Q54HC6	Dictyostelium discoideum	Other	1460	False
P46995	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733	False
Q7YQK4	Oryctolagus cuniculus	Metazoa	503	True
O43482	Homo sapiens	Metazoa	229	False
P29147	Rattus norvegicus	Metazoa	343	False
Q54SM3	Dictyostelium discoideum	Other	179	False
Q9C6I6	Arabidopsis thaliana	Viridiplantae	363	False
Q96330	Arabidopsis thaliana	Viridiplantae	336	False
Q8N6L0	Homo sapiens	Metazoa	562	False
Q9CQ29	Mus musculus	Metazoa	239	False
P32524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	280	False
Q96JP5	Homo sapiens	Metazoa	570	False
Q9JJN6	Mus musculus	Metazoa	81	False
Q18593	Caenorhabditis elegans	Metazoa	329	True
Q84JG2	Arabidopsis thaliana	Viridiplantae	469	False
P33897	Homo sapiens	Metazoa	745	False
Q6LA53	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	346	False
Q1K6Q3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	236	False
O43008	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300	False
Q8BP40	Mus musculus	Metazoa	418	False
P54256	Rattus norvegicus	Metazoa	629	False
Q04401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False
Q9SLD2	Arabidopsis thaliana	Viridiplantae	520	False
P22798	Spinacia oleracea	Viridiplantae	271	False
Q96MH2	Homo sapiens	Metazoa	286	False
A0A0U2X0E4	Mycosarcoma maydis	Fungi	443	False
P33339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1025	False
O43052	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1150	False
P40342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	False
O23174	Arabidopsis thaliana	Viridiplantae	536	False
C0HMD7	Homo sapiens	Metazoa	151	False
Q9Y5Q9	Homo sapiens	Metazoa	886	False
Q86WB0	Homo sapiens	Metazoa	502	False
Q6ZWK4	Homo sapiens	Metazoa	172	True
Q10173	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	441	False
P01880	Homo sapiens	Metazoa	430	False
A1Z830	Drosophila melanogaster	Metazoa	485	False
Q8VYU8	Arabidopsis thaliana	Viridiplantae	396	False
Q8IWV7	Homo sapiens	Metazoa	1749	False
O43078	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	660	False
P36151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	352	False
Q19541	Caenorhabditis elegans	Metazoa	169	False
Q9SR62	Arabidopsis thaliana	Viridiplantae	309	False
Q9USG8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1188	False
Q9YHY6	Xenopus laevis	Metazoa	1364	False
Q9QZR8	Rattus norvegicus	Metazoa	2766	False
O64973	Arabidopsis thaliana	Viridiplantae	889	False
Q8MIR0	Sus scrofa	Metazoa	373	False
P49919	Mus musculus	Metazoa	348	False
Q8RXH2	Arabidopsis thaliana	Viridiplantae	716	False
Q80WL1	Rattus norvegicus	Metazoa	549	False
O81851	Arabidopsis thaliana	Viridiplantae	304	False
Q9H5V7	Homo sapiens	Metazoa	419	False
P48268	Chlamydomonas reinhardtii	Viridiplantae	82	True
P24919	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	273	False
Q5XF07	Arabidopsis thaliana	Viridiplantae	364	False
Q09967	Caenorhabditis elegans	Metazoa	551	False
Q5SFM8	Mus musculus	Metazoa	1060	False
Q9P7C8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	214	False
Q8RXA7	Arabidopsis thaliana	Viridiplantae	1187	False
Q9BX79	Homo sapiens	Metazoa	667	True
P40692	Homo sapiens	Metazoa	756	False
Q9HCJ1	Homo sapiens	Metazoa	492	True
Q9STG9	Arabidopsis thaliana	Viridiplantae	561	False
Q3LHL9	Drosophila melanogaster	Metazoa	1658	False
E3Q1H1	Trypanosoma brucei brucei	Other	147	False
A2YMU2	Oryza sativa subsp. indica	Viridiplantae	266	False
Q02038	Sus scrofa	Metazoa	704	False
Q60560	Mesocricetus auratus	Metazoa	989	False
Q9FIG9	Arabidopsis thaliana	Viridiplantae	801	False
Q9LF68	Arabidopsis thaliana	Viridiplantae	177	False
P33307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	960	False
Q8N100	Homo sapiens	Metazoa	152	False
Q9Y3Z3	Homo sapiens	Metazoa	626	False
O74560	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	636	False
Q9V463	Drosophila melanogaster	Metazoa	1365	False
Q9MBA2	Arabidopsis thaliana	Viridiplantae	326	False
Q9SQR5	Arabidopsis thaliana	Viridiplantae	554	False
O82804	Arabidopsis thaliana	Viridiplantae	695	False
O14867	Homo sapiens	Metazoa	736	False
Q2VWA4	Homo sapiens	Metazoa	1015	False
Q04601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	652	False
P47116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	818	False
P07247	Drosophila melanogaster	Metazoa	502	False
O02351	Antheraea polyphemus	Metazoa	525	True
Q8K2T8	Mus musculus	Metazoa	535	False
Q9W157	Drosophila melanogaster	Metazoa	971	False
Q01664	Homo sapiens	Metazoa	338	False
Q9WTJ4	Mus musculus	Metazoa	500	False
P51795	Homo sapiens	Metazoa	816	False
O55035	Rattus norvegicus	Metazoa	752	False
Q5BVD1	Homo sapiens	Metazoa	217	True
Q8CIV7	Mus musculus	Metazoa	274	False
P36552	Mus musculus	Metazoa	443	False
Q9CAQ2	Arabidopsis thaliana	Viridiplantae	114	False
Q8VYD2	Arabidopsis thaliana	Viridiplantae	386	False
Q9GZT6	Homo sapiens	Metazoa	254	False
Q05812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	728	False
P57742	Arabidopsis thaliana	Viridiplantae	151	False
Q9FME2	Arabidopsis thaliana	Viridiplantae	460	False
Q8W4E7	Arabidopsis thaliana	Viridiplantae	598	False
A1L167	Homo sapiens	Metazoa	161	False
H2KYU6	Caenorhabditis elegans	Metazoa	529	False
Q12166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	604	False
Q07243	Mus musculus	Metazoa	675	False
P25046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	220	False
Q6P2H3	Homo sapiens	Metazoa	762	False
Q22037	Caenorhabditis elegans	Metazoa	346	False
Q5FWH3	Mus musculus	Metazoa	603	False
Q93YU8	Arabidopsis thaliana	Viridiplantae	796	False
Q68G58	Mus musculus	Metazoa	516	False
Q8TEA8	Homo sapiens	Metazoa	209	False
A0A7P0TBJ1	Homo sapiens	Metazoa	273	False
Q07555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	291	False
P25686	Homo sapiens	Metazoa	324	False
Q91Z67	Mus musculus	Metazoa	1071	False
P60002	Homo sapiens	Metazoa	83	False
Q99PQ2	Mus musculus	Metazoa	467	False
Q14209	Homo sapiens	Metazoa	437	False
Q02793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397	False
A8K830	Homo sapiens	Metazoa	251	False
P20143	Hordeum vulgare	Viridiplantae	143	False
P59178	Mus musculus	Metazoa	703	False
Q9VLL3	Drosophila melanogaster	Metazoa	753	False
Q9QX98	Mus musculus	Metazoa	324	False
Q0VAA5	Homo sapiens	Metazoa	305	False
Q99M04	Mus musculus	Metazoa	373	False
Q8QFX1	Gallus gallus	Metazoa	1325	False
Q1G3K8	Arabidopsis thaliana	Viridiplantae	216	False
P21620	Leishmania donovani	Other	514	False
Q6P1X5	Homo sapiens	Metazoa	1199	False
P0DKJ7	Arabidopsis thaliana	Viridiplantae	813	False
Q12359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	275	True
Q9H633	Homo sapiens	Metazoa	154	False
O54957	Mus musculus	Metazoa	242	False
O14980	Homo sapiens	Metazoa	1071	False
F4INA9	Arabidopsis thaliana	Viridiplantae	973	False
Q6IPU0	Homo sapiens	Metazoa	288	False
Q9Y7Q7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	973	False
O13826	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	254	False
B5TYT3	Arabidopsis thaliana	Viridiplantae	771	True
Q8WVC0	Homo sapiens	Metazoa	666	False
Q39055	Arabidopsis thaliana	Viridiplantae	390	False
Q9D4J1	Mus musculus	Metazoa	240	False
Q24459	Drosophila melanogaster	Metazoa	1043	False
Q5MIZ7	Homo sapiens	Metazoa	849	False
Q6ZNL6	Homo sapiens	Metazoa	1462	False
O95376	Homo sapiens	Metazoa	493	False
P18263	Chlamydomonas reinhardtii	Viridiplantae	46	True
Q9USU8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	551	False
P53032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	299	False
Q9DAT5	Mus musculus	Metazoa	417	False
Q96T68	Homo sapiens	Metazoa	719	False
P38927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	245	False
Q42342	Arabidopsis thaliana	Viridiplantae	134	False
P80217	Homo sapiens	Metazoa	286	False
P70279	Mus musculus	Metazoa	355	False
Q9Y2G0	Homo sapiens	Metazoa	817	False
A6NHQ2	Homo sapiens	Metazoa	334	False
Q9LUJ5	Arabidopsis thaliana	Viridiplantae	293	False
O13985	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	512	False
Q9FNQ0	Arabidopsis thaliana	Viridiplantae	625	False
P46673	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	744	False
Q6X632	Mus musculus	Metazoa	540	False
P38297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	855	False
P62847	Homo sapiens	Metazoa	133	False
Q9FNE9	Arabidopsis thaliana	Viridiplantae	349	False
Q925F4	Mus musculus	Metazoa	539	False
Q86WR6	Homo sapiens	Metazoa	236	False
Q63285	Rattus norvegicus	Metazoa	419	False
Q86UK7	Homo sapiens	Metazoa	904	False
Q01663	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	552	False
Q96HI0	Homo sapiens	Metazoa	755	False
Q03435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	False
Q9UGI0	Homo sapiens	Metazoa	708	False
Q9UH99	Homo sapiens	Metazoa	717	False
Q9M0Z3	Arabidopsis thaliana	Viridiplantae	776	False
Q9BZE9	Homo sapiens	Metazoa	553	False
A2IDD5	Homo sapiens	Metazoa	438	False
O60941	Homo sapiens	Metazoa	627	False
Q9P7N4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	315	False
Q02931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	896	False
Q96P16	Homo sapiens	Metazoa	312	False
Q9P7B7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295	False
Q8R2Y0	Mus musculus	Metazoa	336	False
O82289	Arabidopsis thaliana	Viridiplantae	568	False
Q60838	Mus musculus	Metazoa	736	False
Q9ER31	Rattus norvegicus	Metazoa	455	False
Q8TCY9	Homo sapiens	Metazoa	931	False
O70200	Mus musculus	Metazoa	147	False
Q8R0N6	Mus musculus	Metazoa	465	False
Q01613	Xenopus laevis	Metazoa	1420	False
Q9P790	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	316	False
Q550D5	Dictyostelium discoideum	Other	872	False
Q84VQ1	Arabidopsis thaliana	Viridiplantae	283	False
Q9LRB7	Oryza sativa subsp. japonica	Viridiplantae	325	True
Q68G30	Rattus norvegicus	Metazoa	505	False
Q8W4D0	Arabidopsis thaliana	Viridiplantae	631	False
Q7S1R6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	267	False
P38811	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	3744	False
I3W9F6	Rhizophagus irregularis	Fungi	276	True
Q24573	Drosophila melanogaster	Metazoa	911	False
Q5U458	Mus musculus	Metazoa	559	False
O97101	Dictyostelium discoideum	Other	1000	False
P52488	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	636	False
Q9CRA5	Mus musculus	Metazoa	298	False
G5EEG7	Caenorhabditis elegans	Metazoa	510	False
P36168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1195	False
Q8IVS8	Homo sapiens	Metazoa	523	False
F4JGZ1	Arabidopsis thaliana	Viridiplantae	1278	False
Q24174	Drosophila melanogaster	Metazoa	904	False
Q8IP99	Drosophila melanogaster	Metazoa	308	False
B4XT64	Oryza sativa subsp. japonica	Viridiplantae	582	False
O55003	Mus musculus	Metazoa	187	False
Q9FNC7	Arabidopsis thaliana	Viridiplantae	717	False
Q9HCC0	Homo sapiens	Metazoa	563	False
P53972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	490	False
Q2T9J0	Homo sapiens	Metazoa	566	False
X5HYT8	Oryza sativa subsp. japonica	Viridiplantae	425	False
Q0IIM8	Homo sapiens	Metazoa	1120	False
Q9NWV8	Homo sapiens	Metazoa	329	False
Q22323	Caenorhabditis elegans	Metazoa	283	False
P32494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	702	False
O22160	Arabidopsis thaliana	Viridiplantae	224	False
Q4PSU4	Arabidopsis thaliana	Viridiplantae	264	False
F6ZDS4	Mus musculus	Metazoa	2431	False
Q14019	Homo sapiens	Metazoa	142	False
Q9Y8G3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False
G5EGF8	Caenorhabditis elegans	Metazoa	354	False
Q9Y2S7	Homo sapiens	Metazoa	368	False
P40506	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365	False
Q8IUH5	Homo sapiens	Metazoa	632	False
Q04751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	285	False
P36012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	229	False
Q9VWW0	Drosophila melanogaster	Metazoa	359	False
Q96CJ1	Homo sapiens	Metazoa	260	False
Q9Y3D5	Homo sapiens	Metazoa	142	False
P0CT60	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	139	False
P34708	Caenorhabditis elegans	Metazoa	1110	False
Q8L7F7	Arabidopsis thaliana	Viridiplantae	739	False
Q06214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492	False
Q5TA50	Homo sapiens	Metazoa	214	False
Q5RHB5	Danio rerio	Metazoa	1447	False
Q8NF91	Homo sapiens	Metazoa	8797	False
Q94920	Drosophila melanogaster	Metazoa	282	False
Q8BJ63	Mus musculus	Metazoa	490	False
P37382	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	297	False
F4KFT7	Arabidopsis thaliana	Viridiplantae	617	False
P25621	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	512	True
Q5ND04	Mus musculus	Metazoa	624	False
P03871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373	False
Q682U6	Arabidopsis thaliana	Viridiplantae	316	False
O64750	Arabidopsis thaliana	Viridiplantae	186	False
P50861	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	169	False
O95786	Homo sapiens	Metazoa	925	False
P30429	Caenorhabditis elegans	Metazoa	549	False
Q06639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	885	False
Q86YD1	Homo sapiens	Metazoa	416	False
V6CLJ5	Caenorhabditis elegans	Metazoa	790	False
Q7LL22	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	462	False
P40326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	108	False
Q9M0S5	Arabidopsis thaliana	Viridiplantae	764	False
